external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-09681,afastamento,,,9789,,kaikki_no_match
wfpt-03884,afastar,verb,,3955,отталкивать,kaikki_pt_ru_enriched
wfpt-09504,afastou,,,9610,,kaikki_no_match
wfpt-05297,afeganistão,noun,,5377,афганистан,kaikki_pt_ru_enriched
wfpt-05190,afeta,,,5270,,kaikki_no_match
wfpt-11261,afetada,,,11378,,kaikki_no_match
wfpt-11862,afetadas,,,11984,,kaikki_no_match
wfpt-10529,afetado,,,10641,,kaikki_no_match
wfpt-10358,afetados,,,10469,,kaikki_no_match
wfpt-09505,afetam,,,9611,,kaikki_no_match
wfpt-07760,afetar,verb,,7855,воздействовать,kaikki_pt_ru_enriched
wfpt-09506,afeto,,,9612,,kaikki_no_match
wfpt-11863,afetou,,,11985,,kaikki_no_match
wfpt-10009,afim,,,10118,,kaikki_no_match
wfpt-01471,afinal,,,1518,,kaikki_no_match
wfpt-10530,afins,,,10642,,kaikki_no_match
wfpt-01335,afirma,,,1378,,kaikki_no_match
wfpt-05727,afirmam,,,5810,,kaikki_no_match
wfpt-04613,afirmando,,,4691,,kaikki_no_match
wfpt-04451,afirmar,,,4528,,kaikki_no_match
wfpt-11458,afirmaram,,,11575,,kaikki_no_match
wfpt-05405,afirmação,noun,,5488,утверждение,kaikki_pt_ru_enriched
wfpt-11459,afirmações,,,11576,,kaikki_no_match
wfpt-01336,afirmou,,,1379,,kaikki_no_match
wfpt-04290,afonso,noun,,4366,альфонс,kaikki_pt_ru_enriched
wfpt-08044,africa,,,8140,,kaikki_no_match
wfpt-04367,africana,,,4443,,kaikki_no_match
wfpt-07627,africanas,,,7722,,kaikki_no_match
wfpt-04207,africano,,,4283,,kaikki_no_match
wfpt-06279,africanos,,,6366,,kaikki_no_match
wfpt-04705,afro,,,4783,,kaikki_no_match
wfpt-08472,after,,,8569,,kaikki_no_match
wfpt-07497,again,,,7591,,kaikki_no_match
wfpt-11864,agarra,,,11986,,kaikki_no_match
wfpt-11262,agarrar,,,11379,,kaikki_no_match
wfpt-04614,age,,,4692,,kaikki_no_match
wfpt-11263,agem,,,11380,,kaikki_no_match
wfpt-02648,agenda,,,2704,,kaikki_no_match
wfpt-01783,agente,,,1834,,kaikki_no_match
wfpt-01584,agentes,,,1633,,kaikki_no_match
wfpt-06641,agindo,,,6730,,kaikki_no_match
wfpt-02117,agir,,,2171,,kaikki_no_match
wfpt-09507,agitação,,,9613,,kaikki_no_match
wfpt-11264,agiu,,,11381,,kaikki_no_match
wfpt-09330,ago,,,9434,,kaikki_no_match
wfpt-00065,agora,,,70,,kaikki_no_match
wfpt-09331,agostinho,,,9435,,kaikki_no_match
wfpt-00506,agosto,,,531,,kaikki_no_match
wfpt-08745,agrada,,,8845,,kaikki_no_match
wfpt-06642,agradar,verb,,6731,нравиться,kaikki_pt_ru_enriched
wfpt-08613,agradece,,,8711,,kaikki_no_match
wfpt-07400,agradecemos,,,7493,,kaikki_no_match
wfpt-02245,agradecer,,,2299,,kaikki_no_match
wfpt-08319,agradecimento,,,8415,,kaikki_no_match
wfpt-02702,agradeço,,,2761,,kaikki_no_match
wfpt-03591,agradável,,,3657,,kaikki_no_match
wfpt-10711,agregado,,,10823,,kaikki_no_match
wfpt-11089,agressiva,,,11203,,kaikki_no_match
wfpt-09508,agressivo,,,9614,,kaikki_no_match
wfpt-05728,agressão,,,5811,,kaikki_no_match
wfpt-11665,agressões,,,11786,,kaikki_no_match
wfpt-06643,agricultores,,,6732,,kaikki_no_match
wfpt-02025,agricultura,,,2079,,kaikki_no_match
wfpt-10712,agronegócio,,,10824,,kaikki_no_match
wfpt-10359,agrária,,,10470,,kaikki_no_match
wfpt-05083,agrícola,,,5162,,kaikki_no_match
wfpt-05824,agrícolas,,,5908,,kaikki_no_match
wfpt-08186,agua,,,8282,,kaikki_no_match
wfpt-08187,aguarda,,,8283,,kaikki_no_match
wfpt-07267,aguardando,,,7360,,kaikki_no_match
wfpt-08473,aguardar,,,8570,,kaikki_no_match
wfpt-09332,aguarde,,,9436,,kaikki_no_match
wfpt-10883,aguardo,,,10996,,kaikki_no_match
wfpt-11865,aguda,,,11987,,kaikki_no_match
wfpt-05620,aguenta,,,5703,,kaikki_no_match
wfpt-04534,aguentar,,,4611,,kaikki_no_match
wfpt-08188,aguento,,,8284,,kaikki_no_match
wfpt-07901,aguiar,,,7996,,kaikki_no_match
wfpt-10010,agulha,noun,,10119,игла,kaikki_pt_ru_enriched
wfpt-01261,agência,,,1302,,kaikki_no_match
wfpt-03963,agências,,,4035,,kaikki_no_match
wfpt-04978,aids,,,5057,,kaikki_no_match
wfpt-06520,air,,,6609,,kaikki_no_match
wfpt-03885,aires,,,3956,,kaikki_no_match
wfpt-00343,ajuda,noun,,360,помощь,kaikki_pt_ru_enriched
wfpt-07628,ajudado,,,7723,,kaikki_no_match
wfpt-04889,ajudam,,,4968,,kaikki_no_match
wfpt-03117,ajudando,,,3179,,kaikki_no_match
wfpt-00365,ajudar,verb,,383,помочь,kaikki_pt_ru_enriched
wfpt-07268,ajudaram,,,7361,,kaikki_no_match
wfpt-10360,ajudará,,,10471,,kaikki_no_match
wfpt-03241,ajude,,,3304,,kaikki_no_match
wfpt-04045,ajudem,,,4119,,kaikki_no_match
wfpt-11666,ajudo,,,11787,,kaikki_no_match
wfpt-02352,ajudou,,,2406,,kaikki_no_match
wfpt-03806,ajudá,,,3876,,kaikki_no_match
wfpt-09682,ajuste,,,9790,,kaikki_no_match
wfpt-09683,ajustes,,,9791,,kaikki_no_match
wfpt-06052,ala,noun,,6137,крыло,kaikki_pt_ru_enriched
wfpt-04890,alagoas,,,4969,,kaikki_no_match
wfpt-03184,alan,,,3247,,kaikki_no_match
wfpt-08614,alarme,noun,,8712,аларм,kaikki_pt_ru_enriched
wfpt-06644,albert,,,6733,,kaikki_no_match
wfpt-03469,alberto,noun,,3533,альберт,kaikki_pt_ru_enriched
wfpt-07269,album,,,7362,,kaikki_no_match
wfpt-08320,albuquerque,,,8416,,kaikki_no_match
wfpt-02553,alcance,noun,,2608,дальность,kaikki_pt_ru_enriched
wfpt-09509,alcança,,,9615,,kaikki_no_match
wfpt-07629,alcançado,,,7724,,kaikki_no_match
wfpt-02160,alcançar,verb,,2214,достичь,kaikki_pt_ru_enriched
wfpt-04979,alcançou,,,5058,,kaikki_no_match
wfpt-07630,alckmin,,,7725,,kaikki_no_match
wfpt-02246,aldeia,noun,,2300,деревня,kaikki_pt_ru_enriched
wfpt-06053,aldeias,,,6138,,kaikki_no_match
wfpt-11667,aldo,,,11788,,kaikki_no_match
wfpt-09033,alega,,,9135,,kaikki_no_match
wfpt-06280,alegando,,,6367,,kaikki_no_match
wfpt-11265,alegação,,,11382,,kaikki_no_match
wfpt-09510,alegações,,,9616,,kaikki_no_match
wfpt-07902,alegou,,,7997,,kaikki_no_match
wfpt-01472,alegre,,,1519,,kaikki_no_match
wfpt-01647,alegria,noun,,1696,радость,kaikki_pt_ru_enriched
wfpt-11668,alegrias,,,11789,,kaikki_no_match
wfpt-10011,alejandro,,,10120,,kaikki_no_match
wfpt-09684,alem,,,9792,,kaikki_no_match
wfpt-01683,alemanha,noun,,1732,германия,kaikki_pt_ru_enriched
