external_key,lemma,pos,level,freq_rank,ru_gloss,notes
wfpt-07371,rezar,verb,,7464,молиться,kaikki_pt_ru_pos_seed
wfpt-07589,prejudicar,verb,,7684,вредить,kaikki_pt_ru_pos_seed
wfpt-07760,afetar,verb,,7855,воздействовать,kaikki_pt_ru_pos_seed
wfpt-07836,inventar,verb,,7931,изобрета́ть,kaikki_pt_ru_pos_seed
wfpt-08356,culpar,verb,,8452,обвинять,kaikki_pt_ru_pos_seed
wfpt-08367,doer,verb,,8463,болеть,kaikki_pt_ru_pos_seed
wfpt-08630,cessar,verb,,8729,прекращать,kaikki_pt_ru_pos_seed
wfpt-08703,pressionar,verb,,8803,давить,kaikki_pt_ru_pos_seed
wfpt-08712,rolar,verb,,8812,катиться,kaikki_pt_ru_pos_seed
wfpt-08851,reparar,verb,,8951,заметить,kaikki_pt_ru_pos_seed
wfpt-08986,pesar,verb,,9088,весить,kaikki_pt_ru_pos_seed
wfpt-08988,poupar,verb,,9090,сберегать,kaikki_pt_ru_pos_seed
wfpt-09055,comprometer,verb,,9157,нанимать,kaikki_pt_ru_pos_seed
wfpt-09076,distinguir,verb,,9178,дифференцировать,kaikki_pt_ru_pos_seed
wfpt-09319,vingar,verb,,9422,мстить,kaikki_pt_ru_pos_seed
wfpt-09434,nadar,verb,,9539,плавать,kaikki_pt_ru_pos_seed
wfpt-09439,ofender,verb,,9544,обижать,kaikki_pt_ru_pos_seed
wfpt-09484,trair,verb,,9589,предать,kaikki_pt_ru_pos_seed
wfpt-09655,satisfazer,verb,,9761,удовлетворить,kaikki_pt_ru_pos_seed
wfpt-09679,acelerar,verb,,9787,торопить,kaikki_pt_ru_pos_seed
wfpt-09764,interessar,verb,,9872,интересовать,kaikki_pt_ru_pos_seed
wfpt-09856,brilhar,verb,,9965,сиять,kaikki_pt_ru_pos_seed
wfpt-09913,insistir,verb,,10022,настаивать,kaikki_pt_ru_pos_seed
wfpt-09947,obedecer,verb,,10056,слушаться,kaikki_pt_ru_pos_seed
wfpt-10008,acusar,verb,,10117,обвинять,kaikki_pt_ru_pos_seed
wfpt-10203,ativar,verb,,10312,активизировать,kaikki_pt_ru_pos_seed
wfpt-10478,preferir,verb,,10589,предпочесть,kaikki_pt_ru_pos_seed
wfpt-10498,saltar,verb,,10609,прыгать,kaikki_pt_ru_pos_seed
wfpt-10552,calcular,verb,,10664,считать,kaikki_pt_ru_pos_seed
wfpt-10597,evoluir,verb,,10709,развива́ться,kaikki_pt_ru_pos_seed
wfpt-10710,admirar,verb,,10822,восхищаться,kaikki_pt_ru_pos_seed
wfpt-11012,pisar,verb,,11125,топать,kaikki_pt_ru_pos_seed
wfpt-11078,vomitar,verb,,11191,рвать,kaikki_pt_ru_pos_seed
wfpt-11321,diferenciar,verb,,11438,отличать,kaikki_pt_ru_pos_seed
wfpt-11347,fomentar,verb,,11464,возбуждать,kaikki_pt_ru_pos_seed
wfpt-11455,acomodar,verb,,11572,вмещать,kaikki_pt_ru_pos_seed
wfpt-11485,chupar,verb,,11602,сосать,kaikki_pt_ru_pos_seed
wfpt-11575,orar,verb,,11693,просить,kaikki_pt_ru_pos_seed
wfpt-11595,proibir,verb,,11713,запретить,kaikki_pt_ru_pos_seed
